-12947,5477,-15254,14616,
7011,-1459,-6276,-6623,
-7160,-14202,2719,-11809,
-2401,2085,-7704,-1393,
-2850,-14934,2201,-8042,
-15478,-16110,-6609,16372,
5141,-7143,-16058,-1330,
-3564,6412,10209,-14460,
4383,-2517,-13879,5554,
-10299,9227,-13797,-721,
8140,-9896,-5699,-8386,
3466,-2848,-9654,2107,
6887,-7287,6541,8725,
-7295,-6721,-1668,115,
-2842,-2226,-10731,-4860,
5617,395,15579,-5399,
7374,-4386,-8233,-6872,
-4124,-8206,-841,12903,
-1571,-893,1145,-593,
-2548,-2626,-13074,-5487,
